id,geometry_type,coordonnees,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,nom_fs,etab_adr,ouverture_jour,annee,etablissement_type,secteur,ministere_tutelle,services_proposes
_mview_sant_etablissements_sante.fid--4a2be73b_19ea7efbae1_-41,Point,"[1.080265,8.83153833]",Centrale,Tchaoudjo,Tchaoudjo 2,Lama-Tessi,Tchaoudjo,Case de Sante de Lama-Tessi ZONGo,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Nsp,Case de Sante Informelle,Privé,Nsp,{autre}
_mview_sant_etablissements_sante.fid--4a2be73b_19ea7efbae1_-40,Point,"[1.13038719,9.82883995]",Kara,Doufelgou,Doufelgou 1,Ténéga,Doufelgou,Case de Santé de Natoun,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",1998,Case de Sante Informelle,Communautaire,MSHPAUS,"{autre,Services de consultations prenatales,Services d accouchement,Diagnostic ou traitement du paludisme,Services de soins curatifs de l enfant}"
_mview_sant_etablissements_sante.fid--4a2be73b_19ea7efbae1_-3f,Point,"[1.46814803,6.40632909]",Maritime,Vo,Vo 4,Akoumapé,Vo/akoumape,Case de Sante de Tigoe,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",2008,Case de Sante Informelle,Privé,MSHPAUS,"{Diagnostic-prise en charge integree maladies non transmissibles,Diagnostic ou traitement du paludisme,Service d urgence,Services d accouchement,Services de consultations prenatales,Services de planification familiale,Prevention de la transmission mere-enfant VIH,Services de soins curatifs de l enfant,Services de vaccination de l enfant}"
_mview_sant_etablissements_sante.fid--4a2be73b_19ea7efbae1_-3e,Point,"[1.53824659,6.99013395]",Plateaux,Haho,Haho 2,Asrama,Zokouve,Case de Sante de Zokouve,Nsp,"{Dimanche,Samedi,Vendredi,Jeudi,Mercredi,Mardi,Lundi}",Nsp,Case de Sante Informelle,Privé,MSHPAUS,"{Services d accouchement,autre}"
_mview_sant_etablissements_sante.fid--4a2be73b_19ea7efbae1_-3d,Point,"[1.19412089,7.78311345]",Plateaux,Anié,Anié 1,Anié,Anie,Case de Sante Kpassacope,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",2015,Case de Sante Informelle,Privé,Néant,"{Diagnostic ou traitement du paludisme,autre}"
_mview_sant_etablissements_sante.fid--4a2be73b_19ea7efbae1_-3c,Point,"[1.53843195,7.78467283]",Plateaux,Anié,Anié 2,Adogbénou,Anie,Case de Sante Kpatala,Nsp,"{Dimanche,Samedi,Jeudi,Mercredi,Mardi,Lundi}",Nsp,Case de Sante Informelle,Privé,MSHPAUS,{Traitement}
_mview_sant_etablissements_sante.fid--4a2be73b_19ea7efbae1_-3b,Point,"[1.16111288,7.07283998]",Plateaux,Haho,Haho 3,Kpédomé,Haho 3,Case de Sante la Confiance,Nsp,"{Dimanche,Samedi,Vendredi,Jeudi,Mercredi,Mardi,Lundi}",2021,Case de Sante Informelle,Privé,MSHPAUS,"{autre,Services de soins curatifs de l enfant}"
_mview_sant_etablissements_sante.fid--4a2be73b_19ea7efbae1_-3a,Point,"[1.30821432,6.90232136]",Plateaux,Haho,Haho 2,Djemegni,Haho,Case de Sante Mawoulawe,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",2018,Case de Sante Informelle,Privé,MSHPAUS,{autre}
_mview_sant_etablissements_sante.fid--4a2be73b_19ea7efbae1_-39,Point,"[1.39787461,6.60945687]",Maritime,Yoto,Yoto 2,Ahépé,Yoto,Case de Sante Saint Coeur,Nsp,"{Lundi,Mercredi,Mardi,Jeudi,Vendredi,Samedi,Dimanche}",2014,Case de Sante Informelle,Privé,MSHPAUS,"{Services de conseil et de depistage du VIH,Services de soins curatifs de l enfant,autre}"
_mview_sant_etablissements_sante.fid--4a2be73b_19ea7efbae1_-38,Point,"[1.39773075,7.75586733]",Plateaux,Anié,Anié 2,Adogbénou,Anie,Case de Sante Wanou_Cope,Nsp,"{Dimanche,Samedi,Vendredi,Jeudi,Mercredi,Mardi,Lundi}",2004,Case de Sante Informelle,Privé,MSHPAUS,"{Diagnostic ou traitement du paludisme,Services d accouchement,Services de consultations prenatales,autre}"
