FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,nom_fs,etab_adr,ouverture_jour,annee,etablissement_type,secteur,ministere_tutelle,services_proposes,geometry
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_55e7,Maritime,Vo,Vo 3,Dzrékpo,Dzrékpo,USP Dzrekpo,N/a,N/a,N/a,USP 1,Public,N/a,N/a,POINT (1.5693608209053378 6.471152959951261)
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_55e8,Kara,Kéran,Kéran 3,Nadoba,Pimini,USP Pimini,Nsp,Nsp,Nsp,USP 1,Public,Nsp,{Traitement},POINT (1.0580971405217465 10.110191448382826)
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_55e9,Maritime,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,Agoe nyive 5,CMS Sanguera,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",1945,USP 2,Public,MSHPAUS,"{Diagnostic ou demande d examen de crachats,Traitement ou suivi therapeutique de la tuberculose,Diagnostic ou traitement du paludisme,Service d hygiene et d assainissement,Services d accouchement,Services de conseil et de depistage du VIH,Services de consultations prenatales,Services de planification familiale,Prevention de la transmission mere-enfant VIH,Services de sante destines aux adolescents,Services de soins curatifs de l enfant,Services de soins et d appui en matiere de VIH/SIDA,Services de vaccination de l enfant,Soins obstetricaux neonatals d urgence de base,Traitement antiretroviral (VIH-SIDA)}",POINT (1.1133503004084486 6.229676858665188)
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_55ea,Maritime,Golfe,Golfe 6,Baguida,Golfe6/baguida,USP Devego,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",2008,USP 2,Public,MSHPAUS,"{Diagnostic ou demande d examen de crachats,Diagnostic ou traitement du paludisme,Service d hygiene et d assainissement,Services d accouchement,Services de conseil et de depistage du VIH,Services de consultations prenatales,Services de CPC,Services de laboratoire,Services de planification familiale,Prevention de la transmission mere-enfant VIH,Services de soins curatifs de l enfant,Services de vaccination de l enfant,Soins obstetricaux neonatals d urgence de base,Stockage medicaments vaccins produits contraceptifs,Traitement antiretroviral (VIH-SIDA),autre}",POINT (1.3435256114882244 6.19473540809048)
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_55eb,Maritime,Lacs,Lacs 1,Aného,Lacs,Polyclinique Mere-Enfant d'Aneho,BP 121,"{Dimanche,Samedi,Vendredi,Jeudi,Mercredi,Mardi,Lundi}",2007,Hopital 1,Public,MSHPAUS,"{Diagnostic ou demande d examen de crachats,Traitement ou suivi therapeutique de la tuberculose,Diagnostic-prise en charge integree maladies non transmissibles,Diagnostic ou traitement du paludisme,Service d hygiene et d assainissement,Services d accouchement,Services de conseil et de depistage du VIH,Services de consultations prenatales,Services de CPC,Services de laboratoire,Services de planification familiale,Prevention de la transmission mere-enfant VIH,Services de sante destines aux adolescents,Services de soins curatifs de l enfant,Services de soins et d appui en matiere de VIH/SIDA,Services de vaccination de l enfant,Stockage medicaments vaccins produits contraceptifs,Traitement antiretroviral (VIH-SIDA)}",POINT (1.5948030280562 6.229670357709534)
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_55ec,Maritime,Lacs,Lacs 1,Aného,Lacs,USP Aziagbacondji,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi}",2012,USP 1,Public,MSHPAUS,"{Diagnostic ou demande d examen de crachats,Traitement ou suivi therapeutique de la tuberculose,Diagnostic ou traitement du paludisme,Services d accouchement,Services de conseil et de depistage du VIH,Services de consultations prenatales,Services de CPC,Services de planification familiale,Prevention de la transmission mere-enfant VIH,Services de sante destines aux adolescents,Services de soins curatifs de l enfant,Services de vaccination de l enfant,Traitement antiretroviral (VIH-SIDA)}",POINT (1.57244429356062 6.2238902941695)
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_55ed,Maritime,Lacs,Lacs 1,Glidji,Lacs/aneho,Hopital Psychiatrique de Zebe Aneho,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",1904,Hopital 2,Public,MSHPAUS,"{autre,Diagnostic ou traitement du paludisme}",POINT (1.6158149566946611 6.249565045773492)
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_55ee,Maritime,Lacs,Lacs 1,Glidji,Lacs,USP Glidji,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",1968,USP 1,Public,MSHPAUS,"{Diagnostic ou demande d examen de crachats,Traitement ou suivi therapeutique de la tuberculose,Diagnostic-prise en charge integree maladies non transmissibles,Diagnostic ou traitement du paludisme,Services d accouchement,Services de conseil et de depistage du VIH,Services de consultations prenatales,Services de CPC,Services de laboratoire,Services de planification familiale,Prevention de la transmission mere-enfant VIH,Services de soins curatifs de l enfant,Services de soins et d appui en matiere de VIH/SIDA,Services de vaccination de l enfant,Soins obstetricaux et neonatals d urgence complets,Soins obstetricaux neonatals d urgence de base,Stockage medicaments vaccins produits contraceptifs,Traitement antiretroviral (VIH-SIDA)}",POINT (1.6008280131236559 6.249469602673935)
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_55ef,Maritime,Lacs,Lacs 1,Glidji,Lacs,USP Zalive Assoukope,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi}",Nsp,USP 1,Public,MSHPAUS,"{Diagnostic ou demande d examen de crachats,Traitement ou suivi therapeutique de la tuberculose,Diagnostic-prise en charge integree maladies non transmissibles,Diagnostic ou traitement du paludisme,Service d hygiene et d assainissement,Services d accouchement,Services de conseil et de depistage du VIH,Services de consultations prenatales,Services de CPC,Services de planification familiale,Prevention de la transmission mere-enfant VIH,Services de sante destines aux adolescents,Services de soins curatifs de l enfant,Services de soins et d appui en matiere de VIH/SIDA,Services de vaccination de l enfant,Stockage medicaments vaccins produits contraceptifs,Traitement antiretroviral (VIH-SIDA)}",POINT (1.5906894870711106 6.254964927662064)
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_55f0,Maritime,Lacs,Lacs 1,Glidji,Lacs,USP Zowla,Nsp,"{Dimanche,Samedi,Vendredi,Jeudi,Mercredi,Mardi,Lundi}",1952,USP 2,Public,MSHPAUS,"{Diagnostic ou demande d examen de crachats,Traitement ou suivi therapeutique de la tuberculose,Diagnostic-prise en charge integree maladies non transmissibles,Diagnostic ou traitement du paludisme,Service d hygiene et d assainissement,Services d accouchement,Services de conseil et de depistage du VIH,Services de consultations prenatales,Services de CPC,Services de planification familiale,Prevention de la transmission mere-enfant VIH,Services de sante destines aux adolescents,Services de soins curatifs de l enfant,Services de soins et d appui en matiere de VIH/SIDA,Services de vaccination de l enfant,Soins obstetricaux et neonatals d urgence complets,Soins obstetricaux neonatals d urgence de base,Stockage medicaments vaccins produits contraceptifs,Traitement antiretroviral (VIH-SIDA)}",POINT (1.573161076768653 6.286438147762508)
